SaleID,CustomerID,Product,Amount
101,1,Laptop,200
102,2,Smartphone,500
103,3,Tablet,800
104,4,Headphones,1100
105,5,Monitor,1400
106,6,Laptop,200
107,7,Smartphone,500
108,8,Tablet,800
109,9,Headphones,1100
110,10,Monitor,1400
111,11,Laptop,200
112,12,Smartphone,500
113,13,Tablet,800
114,14,Headphones,1100
115,15,Monitor,1400
116,16,Laptop,200
117,17,Smartphone,500
118,18,Tablet,800
119,19,Headphones,1100
120,20,Monitor,1400
121,21,Laptop,200
122,22,Smartphone,500
123,23,Tablet,800
124,24,Headphones,1100
125,25,Monitor,1400
126,26,Laptop,200
127,27,Smartphone,500
128,28,Tablet,800
129,29,Headphones,1100
130,30,Monitor,1400
131,31,Laptop,200
132,32,Smartphone,500
133,33,Tablet,800
134,34,Headphones,1100
135,35,Monitor,1400
136,36,Laptop,200
137,37,Smartphone,500
138,38,Tablet,800
139,39,Headphones,1100
140,40,Monitor,1400
141,41,Laptop,200
142,42,Smartphone,500
143,43,Tablet,800
144,44,Headphones,1100
145,45,Monitor,1400
146,46,Laptop,200
147,47,Smartphone,500
148,48,Tablet,800
149,49,Headphones,1100
150,50,Monitor,1400
151,51,Laptop,200
152,52,Smartphone,500
153,53,Tablet,800
154,54,Headphones,1100
155,55,Monitor,1400
156,56,Laptop,200
157,57,Smartphone,500
158,58,Tablet,800
159,59,Headphones,1100
160,60,Monitor,1400
161,61,Laptop,200
162,62,Smartphone,500
163,63,Tablet,800
164,64,Headphones,1100
165,65,Monitor,1400
166,66,Laptop,200
167,67,Smartphone,500
168,68,Tablet,800
169,69,Headphones,1100
170,70,Monitor,1400
171,71,Laptop,200
172,72,Smartphone,500
173,73,Tablet,800
174,74,Headphones,1100
175,75,Monitor,1400
176,76,Laptop,200
177,77,Smartphone,500
178,78,Tablet,800
179,79,Headphones,1100
180,80,Monitor,1400
181,81,Laptop,200
182,82,Smartphone,500
183,83,Tablet,800
184,84,Headphones,1100
185,85,Monitor,1400
186,86,Laptop,200
187,87,Smartphone,500
188,88,Tablet,800
189,89,Headphones,1100
190,90,Monitor,1400
191,91,Laptop,200
192,92,Smartphone,500
193,93,Tablet,800
194,94,Headphones,1100
195,95,Monitor,1400
196,96,Laptop,200
197,97,Smartphone,500
198,98,Tablet,800
199,99,Headphones,1100
200,100,Monitor,1400
201,1,Laptop,200
202,2,Smartphone,500
203,3,Tablet,800
204,4,Headphones,1100
205,5,Monitor,1400
206,6,Laptop,200
207,7,Smartphone,500
208,8,Tablet,800
209,9,Headphones,1100
210,10,Monitor,1400
211,11,Laptop,200
212,12,Smartphone,500
213,13,Tablet,800
214,14,Headphones,1100
215,15,Monitor,1400
216,16,Laptop,200
217,17,Smartphone,500
218,18,Tablet,800
219,19,Headphones,1100
220,20,Monitor,1400
221,21,Laptop,200
222,22,Smartphone,500
223,23,Tablet,800
224,24,Headphones,1100
225,25,Monitor,1400
226,26,Laptop,200
227,27,Smartphone,500
228,28,Tablet,800
229,29,Headphones,1100
230,30,Monitor,1400
231,31,Laptop,200
232,32,Smartphone,500
233,33,Tablet,800
234,34,Headphones,1100
235,35,Monitor,1400
236,36,Laptop,200
237,37,Smartphone,500
238,38,Tablet,800
239,39,Headphones,1100
240,40,Monitor,1400
241,41,Laptop,200
242,42,Smartphone,500
243,43,Tablet,800
244,44,Headphones,1100
245,45,Monitor,1400
246,46,Laptop,200
247,47,Smartphone,500
248,48,Tablet,800
249,49,Headphones,1100
250,50,Monitor,1400
251,51,Laptop,200
252,52,Smartphone,500
253,53,Tablet,800
254,54,Headphones,1100
255,55,Monitor,1400
256,56,Laptop,200
257,57,Smartphone,500
258,58,Tablet,800
259,59,Headphones,1100
260,60,Monitor,1400
261,61,Laptop,200
262,62,Smartphone,500
263,63,Tablet,800
264,64,Headphones,1100
265,65,Monitor,1400
266,66,Laptop,200
267,67,Smartphone,500
268,68,Tablet,800
269,69,Headphones,1100
270,70,Monitor,1400
271,71,Laptop,200
272,72,Smartphone,500
273,73,Tablet,800
274,74,Headphones,1100
275,75,Monitor,1400
276,76,Laptop,200
277,77,Smartphone,500
278,78,Tablet,800
279,79,Headphones,1100
280,80,Monitor,1400
281,81,Laptop,200
282,82,Smartphone,500
283,83,Tablet,800
284,84,Headphones,1100
285,85,Monitor,1400
286,86,Laptop,200
287,87,Smartphone,500
288,88,Tablet,800
289,89,Headphones,1100
290,90,Monitor,1400
291,91,Laptop,200
292,92,Smartphone,500
293,93,Tablet,800
294,94,Headphones,1100
295,95,Monitor,1400
296,96,Laptop,200
297,97,Smartphone,500
298,98,Tablet,800
299,99,Headphones,1100
300,100,Monitor,1400
301,1,Laptop,200
302,2,Smartphone,500
303,3,Tablet,800
304,4,Headphones,1100
305,5,Monitor,1400
306,6,Laptop,200
307,7,Smartphone,500
308,8,Tablet,800
309,9,Headphones,1100
310,10,Monitor,1400
311,11,Laptop,200
312,12,Smartphone,500
313,13,Tablet,800
314,14,Headphones,1100
315,15,Monitor,1400
316,16,Laptop,200
317,17,Smartphone,500
318,18,Tablet,800
319,19,Headphones,1100
320,20,Monitor,1400
321,21,Laptop,200
322,22,Smartphone,500
323,23,Tablet,800
324,24,Headphones,1100
325,25,Monitor,1400
326,26,Laptop,200
327,27,Smartphone,500
328,28,Tablet,800
329,29,Headphones,1100
330,30,Monitor,1400
331,31,Laptop,200
332,32,Smartphone,500
333,33,Tablet,800
334,34,Headphones,1100
335,35,Monitor,1400
336,36,Laptop,200
337,37,Smartphone,500
338,38,Tablet,800
339,39,Headphones,1100
340,40,Monitor,1400
341,41,Laptop,200
342,42,Smartphone,500
343,43,Tablet,800
344,44,Headphones,1100
345,45,Monitor,1400
346,46,Laptop,200
347,47,Smartphone,500
348,48,Tablet,800
349,49,Headphones,1100
350,50,Monitor,1400
351,51,Laptop,200
352,52,Smartphone,500
353,53,Tablet,800
354,54,Headphones,1100
355,55,Monitor,1400
356,56,Laptop,200
357,57,Smartphone,500
358,58,Tablet,800
359,59,Headphones,1100
360,60,Monitor,1400
361,61,Laptop,200
362,62,Smartphone,500
363,63,Tablet,800
364,64,Headphones,1100
365,65,Monitor,1400
366,66,Laptop,200
367,67,Smartphone,500
368,68,Tablet,800
369,69,Headphones,1100
370,70,Monitor,1400
371,71,Laptop,200
372,72,Smartphone,500
373,73,Tablet,800
374,74,Headphones,1100
375,75,Monitor,1400
376,76,Laptop,200
377,77,Smartphone,500
378,78,Tablet,800
379,79,Headphones,1100
380,80,Monitor,1400
381,81,Laptop,200
382,82,Smartphone,500
383,83,Tablet,800
384,84,Headphones,1100
385,85,Monitor,1400
386,86,Laptop,200
387,87,Smartphone,500
388,88,Tablet,800
389,89,Headphones,1100
390,90,Monitor,1400
391,91,Laptop,200
392,92,Smartphone,500
393,93,Tablet,800
394,94,Headphones,1100
395,95,Monitor,1400
396,96,Laptop,200
397,97,Smartphone,500
398,98,Tablet,800
399,99,Headphones,1100
400,100,Monitor,1400
401,1,Laptop,200
402,2,Smartphone,500
403,3,Tablet,800
404,4,Headphones,1100
405,5,Monitor,1400
406,6,Laptop,200
407,7,Smartphone,500
408,8,Tablet,800
409,9,Headphones,1100
410,10,Monitor,1400
411,11,Laptop,200
412,12,Smartphone,500
413,13,Tablet,800
414,14,Headphones,1100
415,15,Monitor,1400
416,16,Laptop,200
417,17,Smartphone,500
418,18,Tablet,800
419,19,Headphones,1100
420,20,Monitor,1400
421,21,Laptop,200
422,22,Smartphone,500
423,23,Tablet,800
424,24,Headphones,1100
425,25,Monitor,1400
426,26,Laptop,200
427,27,Smartphone,500
428,28,Tablet,800
429,29,Headphones,1100
430,30,Monitor,1400
431,31,Laptop,200
432,32,Smartphone,500
433,33,Tablet,800
434,34,Headphones,1100
435,35,Monitor,1400
436,36,Laptop,200
437,37,Smartphone,500
438,38,Tablet,800
439,39,Headphones,1100
440,40,Monitor,1400
441,41,Laptop,200
442,42,Smartphone,500
443,43,Tablet,800
444,44,Headphones,1100
445,45,Monitor,1400
446,46,Laptop,200
447,47,Smartphone,500
448,48,Tablet,800
449,49,Headphones,1100
450,50,Monitor,1400
451,51,Laptop,200
452,52,Smartphone,500
453,53,Tablet,800
454,54,Headphones,1100
455,55,Monitor,1400
456,56,Laptop,200
457,57,Smartphone,500
458,58,Tablet,800
459,59,Headphones,1100
460,60,Monitor,1400
461,61,Laptop,200
462,62,Smartphone,500
463,63,Tablet,800
464,64,Headphones,1100
465,65,Monitor,1400
466,66,Laptop,200
467,67,Smartphone,500
468,68,Tablet,800
469,69,Headphones,1100
470,70,Monitor,1400
471,71,Laptop,200
472,72,Smartphone,500
473,73,Tablet,800
474,74,Headphones,1100
475,75,Monitor,1400
476,76,Laptop,200
477,77,Smartphone,500
478,78,Tablet,800
479,79,Headphones,1100
480,80,Monitor,1400
481,81,Laptop,200
482,82,Smartphone,500
483,83,Tablet,800
484,84,Headphones,1100
485,85,Monitor,1400
486,86,Laptop,200
487,87,Smartphone,500
488,88,Tablet,800
489,89,Headphones,1100
490,90,Monitor,1400
491,91,Laptop,200
492,92,Smartphone,500
493,93,Tablet,800
494,94,Headphones,1100
495,95,Monitor,1400
496,96,Laptop,200
497,97,Smartphone,500
498,98,Tablet,800
499,99,Headphones,1100
500,100,Monitor,1400
